title,frequency,text_unit_ids
SUBJECTS,1,[1]
SUBLUNARY CREATURES,1,[0]
SUBLUNARY SUBJECTS,1,[1]
SUBTERRANEOUS AIR,1,[2]
SUBTIL,1,[2]
SUBTIL AIR,1,[0]
SUBTIL CELESTIAL,1,[0]
SUBTIL EARTH,2,"[0, 1]"
SUBTIL FIRE,1,[0]
SUBTIL FIXT ALCALINE EARTH,1,[1]
SUBTIL HUMID VAPOUR,1,[0]
SUBTIL INCORPOREAL,1,[0]
SUBTIL MUD,1,[0]
SUBTIL NITRE,1,[1]
SUBTIL NITRE JOINS,1,[1]
SUBTIL PRINCIPLE,1,[0]
SUBTIL SPIRIT,2,"[1, 2]"
SUBTIL VAPOUR,1,[0]
SUBTIL VOLATILE NITRE,1,[1]
SUBTIL VOLATILE PARTICLES EVAPORATE,1,[2]
SUBTIL WATER,1,[0]
SUBTILISATION,1,[0]
SUBTILISES AIR,1,[0]
SUBTLE AIR,1,[0]
SUCH AIR,1,[0]
SUCH SUPERFLUITIES,1,[0]
SUDDEN GROWTH,1,[1]
SUFFICIENT PROOFS,1,[1]
SUFFICIENT QUANTITY,3,"[0, 1, 2]"
SUITABLE EARTH,1,[2]
SULPHUR ETC,1,[1]
SULPHUR PREDOMINATES,1,[1]
SULPHUR VAPOURS,1,[1]
SULPHUREOUS SUBSTANCES,1,[1]
SULPHUREOUS VAPOURS,1,[2]
SULPHUREOUS VINEGAR,1,[2]
SULPHUROUS MACARSITES ARSENICAL,1,[1]
SUMMER DAYS,1,[1]
SUN,2,"[0, 1]"
SUN FULM,1,[1]
SUN FULMINANS,1,[1]
SUN QUICKLIME,1,[1]
SUPERFLOUS HUMIDITY,1,[0]
SUPERIUS,1,[0]
SURPRISING EFFECTS,1,[0]
SWIFT MOTION,1,[0]
SYRUP,1,[1]
TABLET,1,[2]
TARTAR,1,[1]
TARTARI,1,[1]
TEDIOUS OPERATION,1,[0]
TEMPORAL CORRUPTION,1,[2]
TENDER VIRGIN EARTH,1,[1]
TERRA SIGILLATA,1,[1]
THEREIN CAUSES FERTILITY,1,[1]
THEREIN EARTH JUICES,1,[0]
THICK SLIMY GROUND WATERS,1,[0]
THICK WATER,1,[1]
THICKEST PART,1,[0]
THICKISH WATER,1,[1]
THINGS MIX,1,[2]
THINGS VIZ,1,[1]
THOUSANDS ERR,1,[0]
THREEFOLD,1,[2]
THUNDER,1,[0]
THUNDER-RAIN WATER,1,[1]
TIDES,1,[1]
TIME IMMEMORIAL,1,[2]
TIME PERCEIVE,1,[1]
TITLE PAGE,1,[2]
TOOL,1,[0]
TOTAL PRIVATION,1,[0]
TRANQUIL STATE,1,[0]
TRANSIRE POSSE ABUNO,1,[0]
TRANSPARENT FORM NITRE,1,[2]
TREASURES,1,[1]
TREE,2,"[0, 1]"
TREES,2,"[1, 2]"
TRUE MEANING,1,[2]
TRUE PHILOSOPHERS,1,[2]
TRUE REASON,1,[1]
TRUTH,2,"[0, 2]"
TRUTHS,1,[0]
TWO-FOLD,1,[0]
UNCTUOUS EARTH,1,[2]
UNIUS EST GENERATIS ALTERIUS,1,[2]
UNIVERSAL,3,"[0, 1, 2]"
UNIVERSAL ACID,2,"[0, 2]"
UNIVERSAL AGENT,3,"[0, 1, 2]"
UNIVERSAL AGENTS,1,[1]
UNIVERSAL ASTRAL,1,[0]
UNIVERSAL CORPORIFIED SPERM,1,[1]
UNIVERSAL FIRE,2,"[0, 2]"
UNIVERSAL FIRE FILLS,1,[0]
UNIVERSAL GUR,2,"[1, 2]"
UNIVERSAL NATURE,2,"[0, 1]"
UNIVERSAL PATIENT PRIMORDIAL,1,[1]
UNIVERSAL PRINCIPLES,1,[2]
UNIVERSAL SEED,2,"[0, 1]"
UNIVERSAL SEED GENERATE,1,[1]
UNIVERSAL SPERM,3,"[0, 1, 2]"
UNIVERSAL SPIRIT,1,[0]
UNIVERSAL VAPOURS,1,[0]
UNIVERSALITY,1,[0]
UNIVERSALLY,1,[0]
UNIVERSE,2,"[0, 2]"
UNPREPARED SEEDS,1,[1]
UPPER PART,1,[1]
VALLEYS,1,[1]
VAPOUR,3,"[0, 1, 2]"
VAPOURS,3,"[0, 1, 2]"
VARIOUS BEAUTIFUL COLOURS,1,[1]
VARIOUS FORMS,1,[2]
VARIOUS INSTANCES,1,[0]
VARIOUS PARTS,1,[0]
VEGETABLE DEPARTMENT STANDS,1,[1]
VEGETABLE DEPARTMENTS,1,[1]
VEGETABLES,3,"[0, 1, 2]"
VEGETABLES ETC,1,[0]
VEHEMENT CONCUSSIONS,1,[1]
VEHICLE,1,[0]
VENUS,2,"[1, 2]"
VERSA,1,[0]
VESSEL,2,"[0, 1]"
VESSELS,2,"[0, 1]"
VIA SICCA,1,[1]
VICE VERSA,1,[0]
VINE,1,[1]
VINEGAR CORROSIVE,1,[2]
VINEGAR SPIRIT,1,[1]
VIOLENT REACTION,1,[1]
VIRGIN EARTH,1,[0]
VISIBLE,1,[0]
VISIBLE CRYSTALLINE,1,[1]
VISIBLE EFFECTS,1,[0]
VISIBLE ELEMENTS AIR,1,[2]
VISIBLE STATE,1,[2]
VITRIOLIC,1,[2]
VOID,1,[2]
VOLATIL,1,[0]
VOLATILE,3,"[0, 1, 2]"
VOLATILE ALCALI,1,[1]
VOLATILE ALCALINE EARTH,1,[1]
VOLATILE ALCALINE SPIRITS,1,[1]
VOLATILE ALCALINE SULPHUREOUS NITRE,1,[1]
VOLATILE EARTH,2,"[0, 1]"
VOLATILE INCORPOREAL NITRE,2,"[1, 2]"
VOLATILE MEDIUM,1,[0]
VOLATILE METEORS,1,[1]
VOLATILE MINERALS,1,[0]
VOLATILE NITRE,2,"[1, 2]"
VOLATILE PART,1,[1]
VOLATILE SALT,1,[1]
VOLATILE STATE,1,[2]
VOLATILE SULPHUREOUS ALCALI,1,[1]
VOLATILE SULPHUREOUS EARTH,1,[1]
VOLATILE SULPHUREOUS EARTH EXPLODES,1,[1]
VOLATILE VINEGAR,1,[1]
VOLATILE WATER,2,"[0, 1]"
VOLATILISATIAN EXTENNATION,1,[0]
VOLATILITY,1,[0]
VOLATILIZE FIXT,1,[0]
VULGAR NITRE,1,[1]
WARM GARRET,2,"[0, 1]"
WARM PLACE,1,[1]
WARM PROPRIETY,1,[2]
WARM ROOM,1,[1]
WARMTH,1,[2]
WARMTH EXTINGUISHES LIFE,1,[0]
WATER ASCENDS,1,[0]
WATER CONDENSES AIR,1,[0]
WATER DIFFERS,1,[0]
WATER DISSOLVES,3,"[0, 1, 2]"
WATER FULMUNATES,1,[1]
WATER GENERATES,1,[1]
WATER MOVES,1,[0]
WATER SOAK,1,[1]
WATER WHEREIN FIRE DWELLS,1,[0]
WATERS,1,[0]
WHATSOEVER,1,[1]
WHOLE,1,[0]
WHOLE DIFFERENCE,1,[0]
WHOLE QUANTITY,2,"[0, 1]"
WHOLE SCOPE,1,[0]
WHOLE SUBSTANCE,1,[2]
WHOLE SUMMER,1,[1]
WHOLE SUPERFICIES,1,[2]
WHOLE SYSTEM,1,[0]
WIFE,1,[2]
WIND FURNACE,1,[1]
WINE,1,[0]
WINTER,2,"[0, 1]"
WISDOM,1,[0]
WOLFRAM,2,"[1, 2]"
WOMB,1,[0]
WONDERFUL FERTILITY,1,[1]
WONDERFUL FIXITY,1,[0]
WOOL SLIMY,1,[1]
