source,target,weight,text_unit_ids
5TH CHAPTER,FLUID MATTER,2.7331606912463438e-05,[0]
5TH CHAPTER,FOOLISH PERSONS,2.7331606912463438e-05,[0]
5TH CHAPTER,FOOLS,2.7331606912463438e-05,[0]
5TH CHAPTER,FOOLS EXTRACT,2.7331606912463438e-05,[0]
5TH CHAPTER,FULL CERTAINTY,2.7331606912463438e-05,[0]
5TH CHAPTER,FUSIBLE EARTH,2.7331606912463438e-05,[0]
5TH CHAPTER,FUSIBLE THINGS,2.7331606912463438e-05,[0]
5TH CHAPTER,GENERAL LAWS,2.7331606912463438e-05,[0]
5TH CHAPTER,GENERATE METALS,2.7331606912463438e-05,[0]
5TH CHAPTER,GENERATIVE VIRTUE,2.7331606912463438e-05,[0]
5TH CHAPTER,GENERIC EARTH,2.7331606912463438e-05,[0]
5TH CHAPTER,GENTLE FIRE,2.7331606912463438e-05,[0]
5TH CHAPTER,GOD,2.7331606912463438e-05,[0]
5TH CHAPTER,GOLD ADDRESS,2.7331606912463438e-05,[0]
5TH CHAPTER,GOLDEN WATER,2.7331606912463438e-05,[0]
5TH CHAPTER,GOOD BREAD,2.7331606912463438e-05,[0]
5TH CHAPTER,GOOD PURPOSE,2.7331606912463438e-05,[0]
5TH CHAPTER,GOOD WORKMAN,2.7331606912463438e-05,[0]
5TH CHAPTER,GREAT ARCANUM,2.7331606912463438e-05,[0]
5TH CHAPTER,GREAT GAIN,2.7331606912463438e-05,[0]
5TH CHAPTER,GREAT LABOUR,2.7331606912463438e-05,[0]
5TH CHAPTER,GREAT MISTAKE,2.7331606912463438e-05,[0]
5TH CHAPTER,GROSS SUBSTANCES,2.7331606912463438e-05,[0]
5TH CHAPTER,GROUND QUICKSILVER,2.7331606912463438e-05,[0]
5TH CHAPTER,HAST NEED,2.7331606912463438e-05,[0]
5TH CHAPTER,HEAT ADHERES,2.7331606912463438e-05,[0]
5TH CHAPTER,HEAVY OBJECTS,2.7331606912463438e-05,[0]
5TH CHAPTER,HENCE,2.7331606912463438e-05,[0]
5TH CHAPTER,HERMES,2.7331606912463438e-05,[0]
5TH CHAPTER,HOMOGENEOUS BODIES,2.7331606912463438e-05,[0]
5TH CHAPTER,HOMOGENEOUS SUBSTANCES,2.7331606912463438e-05,[0]
5TH CHAPTER,HOMOGENEOUS SUBSTANCES COHERE,2.7331606912463438e-05,[0]
5TH CHAPTER,HOT MALE SEED,2.7331606912463438e-05,[0]
5TH CHAPTER,HUMID NATURE,2.7331606912463438e-05,[0]
5TH CHAPTER,IMPERFECT BODY,2.7331606912463438e-05,[0]
5TH CHAPTER,IMPERFECT METALS,2.7331606912463438e-05,[0]
5TH CHAPTER,IMPERFECT SUBSTANCES,2.7331606912463438e-05,[0]
5TH CHAPTER,IMPERIAL MIND,2.7331606912463438e-05,[0]
5TH CHAPTER,IMPURE BODY,2.7331606912463438e-05,[0]
5TH CHAPTER,IMPURE EARTH,2.7331606912463438e-05,[0]
5TH CHAPTER,IMPURE METALLIC BODIES,2.7331606912463438e-05,[0]
5TH CHAPTER,INACTIVE QUALITIES,2.7331606912463438e-05,[0]
5TH CHAPTER,INCORPOREAL BODY,8.039250544056598e-06,[0]
5TH CHAPTER,INCORPOREAL THINGS BODIES,2.7331606912463438e-05,[0]
5TH CHAPTER,INDIVIDUAL THINGS,2.7331606912463438e-05,[0]
5TH CHAPTER,INFERIOR BODIES,2.7331606912463438e-05,[0]
5TH CHAPTER,INMOST PARTS,2.7331606912463438e-05,[0]
5TH CHAPTER,INMOST PROPERTIES,2.7331606912463438e-05,[0]
