title,frequency,text_unit_ids
OWN EXPERIMENTS,1,[1]
OWN GENUS,1,[0]
OWN HEAT,1,[0]
OWN KIND,1,[0]
OWN LIKENESS,1,[0]
OWN NATURE,1,[0]
OWN PARTICULAR GENUS,1,[0]
OWN PROPER HUMIDITY,1,[0]
OWN PROPER SEED,1,[0]
OWN SEED,1,[0]
PARTICULAR MIXTURE,1,[1]
PARTICULAR OPERATION,1,[0]
PASSIVE BODY,1,[0]
PASSIVE ELEMENTS,1,[0]
PASSIVE MOVEMENTS,1,[0]
PERFECT BODIES,1,[0]
PERFECT BODY,1,[0]
PERFECT FEMALE BODY,1,[0]
PERFECT MALE BODY,1,[0]
PERFECT METALLIC SPECIES,1,[0]
PERFECT TINCTURE,1,[0]
PERMANENT TINCTURE,1,[0]
PETER,1,[0]
PHILOSOPHER,1,[0]
PHILOSOPHER TESTIFIES,1,[0]
PHILOSOPHERS,1,[0]
PHILOSOPHERS EDWARD KELLY,1,[0]
PHILOSOPHICAL STONE,1,[0]
PRESENT TREATISE TIME,1,[0]
PROCESSES TILL,1,[1]
PROPER DEGREE,1,[0]
PROPER METHOD,1,[0]
PROPER SEED,1,[0]
PURE,1,[0]
PURE EARTH,1,[0]
PURE SEED,1,[0]
PURE SOIL,1,[0]
PURE THINGS,1,[1]
PURE WATER,2,"[0, 1]"
PURIFY,1,[0]
PURIFY LATON,1,[0]
QUICKSILVER,1,[0]
QUICKSILVER CONGEALS,1,[1]
RADICAL HUMOUR,1,[0]
REAL BODY,2,"[0, 1]"
RED MAN,2,"[0, 1]"
RED SULPHUR,1,[0]
REJECT,1,[0]
REVEREND FATHER,1,[0]
RHASIS,1,[1]
ROSARY,1,[0]
ROSINUS,1,[0]
SAGES,2,"[0, 1]"
SATURN,1,[1]
SAYS MENALATES,1,[0]
SAYS MERCURY,1,[0]
SEED,1,[0]
SEED SOWN,1,[0]
SENSITIVE THINGS,1,[0]
SEXUAL UNION,1,[0]
SILVER,1,[0]
SILVER COLOUR,1,[0]
SILVER EXHIBITS,1,[0]
SIMILAR CANON,1,[0]
SIMILAR THINGS,1,[0]
SIMPLE DIGESTION,1,[0]
SIMPLE SALT,1,[0]
SOLAR,1,[0]
SOLAR FATNESS,1,[0]
SOLAR STONE,1,[0]
SOLVENT DIFFERS,1,[0]
SOUL PREVENTS,1,[1]
SOUNDING,1,[0]
SOW,1,[0]
SPECIFIC ARRANGEMENT,1,[0]
SPECIFIC FORM,1,[0]
SPECIFIC MERCURIAL NATURE,1,[0]
SPECIFIC METALLIC ARRANGEMENT,1,[0]
SPIRIT,1,[0]
SPIRIT GUARDS,1,[1]
SPIRIT INCOMBUSTIBLE,1,[1]
STIR,1,[1]
STONE,2,"[0, 1]"
STONE ANTIMONY,1,[0]
STONY WILDERNESS,1,[0]
STRONE BODIES,1,[1]
STRONG WATERS,1,[0]
SUBTLE FORM,1,[1]
SUCH CHILDISH EXPERIMENTS,1,[0]
SUCH PROPORTIONS,1,[0]
SULPHUREOUS HEAT,1,[0]
SUN,2,"[0, 1]"
THICK WATER,1,[0]
THOU,1,[0]
THOU ART,1,[0]
THOU DISPUTE,1,[0]
THREEFOLD DIVISION,1,[0]
THY NATURE,1,[0]
THY OPERATION,1,[0]
THY SOUL,1,[0]
TINCTURE,1,[0]
TINGE SULPHUR,1,[0]
TRANSMUTATION,1,[0]
TREVISA,1,[0]
TREVISAN,1,[0]
TRUE BODY,1,[0]
TRUE GENERATION,1,[0]
TRUE PHILOSOPHICAL SOLUTION,1,[1]
TRUE PRINCIPLE,1,[1]
TRUE SCOPE,1,[0]
TRUMPET,1,[0]
TRUTH,1,[0]
TURBA,1,[0]
TURBA PHILOSOPHORUM,1,[0]
UNCERTAIN NOTE,1,[0]
UNCHANGEABLE LAW,1,[0]
UNIVERSAL MATTER,1,[0]
VEGETABLE LIQUID,1,[0]
VENERABLE EARS,1,[0]
VISCOUS PARTS,1,[1]
VISCOUS SUBSTANCE,1,[0]
WANTON SERPENT,1,[0]
WARM WATER,1,[0]
WATER ACTS,1,[0]
WATER WHENCE METALS,1,[1]
WAYS,1,[0]
WHITE HOT ASHES,1,[0]
WHITE INCUMBUSTIBLE SULPHUR,1,[0]
WHITE SISTER,1,[1]
WHITE SULPHUR,1,[0]
WHITE WOMAN,1,[0]
WHITE WOMAN TILL,1,[1]
WHITEN COPPER,1,[1]
WHOEVER NEGLECTS,1,[0]
WHOLE DIFFICULTY,1,[0]
WHOLE LIFE,1,[0]
WHOLE PROCESS,1,[0]
WHOLE SPHERE,1,[0]
WHOLE WORK,1,[0]
WHOSOEVER DRINKS,1,[0]
WONDERFUL LIQUID,1,[0]
WORDS,1,[0]
ZALENTUM,1,[0]
