level,community,parent,nodes
1,10,2,"['ABSTRACT MATHEMATICS', 'ATTRIBUTE EXISTENCE', 'BODIES TRIANGULAR', 'BODY EXISTS', 'CERTAIN APPLICATION', 'CERTAIN CORPOREAL INCLINATIONS', 'CERTAIN DETERMINATE NATURE', 'CERTAIN FEELING', 'CERTAIN KNOWLEDGE', 'CERTAIN PARTS', 'CERTAIN PERFECTION', 'CERTAIN PROOF', 'CERTAIN REPRESENTATION', 'CERTAIN SENSE', 'CERTAIN WEAKNESS', 'CHARACTERISTIC NATURE', 'CONTINUAL PRESSURE', 'CONTRARY REASON', 'CONVENIENT MODE', 'DIFFERENT PARTS', 'DIFFERENT WAYS', 'DISTINCT CONCEPTION20', 'DISTINCT INTELLIGENCE', 'DISTINCT KNOWLEDGE', 'DISTINCT UNDERSTANDING', 'DIVERSE PROPERTIES', 'DIVINE GRACE', 'EXISTENCE', 'EXISTENCE PERTAINS', 'FALSE SUPPOSITIONS', 'FINITE UNDERSTANDING', 'FIRM GRASP', 'FORCE CONSTRAINS', 'FORMAL REASON', 'FREE CHOICE', 'GEOMETRY RECOGNISE', 'GOOD USE', 'GREAT CLEARNESS', 'GREAT EXPERIENCE', 'IMMUTABLE NATURE', 'INDUBITABLE REASONS', 'INTELLECTUAL ACTIVITY', 'INTELLECTUAL MATTERS', 'INWARD VISION', 'LOCAL MOVEMENT', 'LONG AS22', 'MATERIAL', 'MEDITATION VI', 'NATURAL KNOWLEDGE', 'NECESSARY ELEMENT', 'NECESSITY SUFFICES', 'OBJECTION HOLD GOOD', 'OCCASION RESUME', 'ONLY MANIFEST', 'ORIGINAL SUPPOSITION', 'PARTICULAR EFFORT', 'PAST JUDGMENT', 'PERFECT CLEARNESS', 'PERFECT KNOWLEDGE', 'PERFECTION ACCRUES', 'PRINCIPAL PERFECTION', 'PROPER SIGNIFICATION', 'PURE INTELLECTION', 'PURE NEGATION', 'PURE NEGATIONS', 'QUADRILATERAL FIGURE', 'QUADRILATERAL FIGURES', 'REAL DISTINCTION', 'RECTILINEAR FIGURE', 'REGARDS FIGURES', 'REMARK BESIDES', 'RIGHT ANGLES', 'SENSE PERCEPTION', 'SIMILAR APPETITES', 'SIMILAR PASSIONS', 'SIMPLE KNOWLEDGE', 'SMALL EXTENT', 'SOLE REASON', 'STRENUOUS APPLICATION', 'SUCH ALLEGATIONS', 'SUCH OBJECTS', 'SUFFICIENT CLEARNESS', 'TIME PERCEIVE THINGS', 'TRUE IDEAS', 'VARIOUS PROPERTIES', 'WAY DIFFERS', 'WINGS EXISTS', 'WORD ERROR']"
1,11,2,"['CORPOREAL THINGS', 'GOD', 'BODY', 'CERTAIN THINGS', 'HIM', 'MEDITATION', 'NATURAL LIGHT', 'OWN NATURE', 'PRINCIPAL TASK', 'SOLE FACT', 'SUPREME PERFECTION', 'THINGS BESIDES', 'WHEREUPON', 'WHOLE UNIVERSE']"
1,12,4,"['EVIDENT KNOWLEDGE', 'MATERIAL THINGS', 'SOUL']"
1,13,4,"['NON- EXISTENT', 'PRESENT TIME', 'ALTERNATIVE READING', 'AMONGST', 'AMPLE EXPLANATION', 'AMSTERDAM', 'APOLLONIUS', 'APPROBATIONE DOCTORUM', 'ARCHIMEDES', 'ARITHMETIC', 'ASTRONOMY', 'BLACK BILE', 'CAMBRIDGE', 'CATHOLIC CHURCH', 'CERTAIN CONFIGURATION', 'CERTAIN DEMONSTRATION', 'CERTAIN DEMONSTRATIONS', 'CERTAIN DIFFICULTIES', 'CERTAIN INDICATIONS', 'CERTAIN MEDLEY', 'CERTAIN PERSONS', 'CERTAIN REAL COLOURS', 'CHARMING COUNTRY HOUSE', 'CHRISTIAN PHILOSOPHERS', 'CLERSELIER', 'COMPLETE MATTERS', 'COMPLETE SYSTEM', 'COMPOSITE THINGS', 'COPYRIGHT', 'DESCARTES', 'DIFFERENT ANIMALS', 'DIFFERENT REASONS', 'DIFFERENT THING', 'DISCOURSE', 'DISTINGUISH WAKEFULNESS', 'DIVERSE SUBSTANCES', 'DOUBT', 'DUC', 'DUTCH', 'EARTHENWARE HEAD', 'ENDEGEEST', 'EVIDENT FACTS', 'EXACT CONNECTION', 'EXACT DEMONSTRATIONS', 'EYES AWAKE', 'FAITH', 'FAITHFUL ONES', 'FALSE BELIEFS', 'FALSE DELUSIONS', 'FALSE OPINIONS', 'FEEBLER MINDS', 'FOLLOWING MEDITATIONS', 'FOURTH MEDIATION', 'FRANCE', 'FRENCH EDITION', 'GENERAL THINGS', 'GENERAL UPHEAVAL', 'GEOMETRICAL DEMONSTRATIONS', 'GEOMETRY', 'GREAT MEN', 'GREAT TROUBLE', 'HENCE', 'HOLLAND', 'HOWBEIT', 'HUMAN REASONS', 'HUMAN SOUL', 'HUMAN SOUL DIFFERS', 'IDEA EXISTS', 'IMAGINARY THINGS', 'IMPIOUS PERSONS', 'INDEFINITE KIND', 'INTERNET ENCYCLOPEDIA', 'LATERAN', 'LEIDEN', 'LENGTHY WORKS', 'LEO', 'LEO X', 'LORD THEREOF', 'LOUIS ELZEVIR', 'LUYNES', 'MEDICINE', 'MEDITATIONS', 'METAPHYSICAL SPECULATIONS', 'METHOD', 'MICHAEL SOLY', 'MIND CRITICISMS', 'MM', 'MORAL VIRTUE', 'NATURAL REASON', 'NATURE IMMORTAL', 'NATURE INCORRUPTIBLE', 'NEW ONES', 'NEW PROOF', 'OBJECTIVE CONTRIVANCE', 'ORDINARY ATHEISTIC SOURCES', 'ORDINARY PATH', 'OTHERS DECEIVE', 'OWN POWERS', 'PAPPUS', 'PARIS', 'PARTICULAR PLACE', 'PEACEABLE RETIREMENT', 'PERCEIVE OTHERS', 'PERE MERSENNE', 'PERFECT MACHINE', 'PERFECT POSSESSES', 'PERMANENT STRUCTURE', 'PHILOSOPHICAL', 'PHILOSOPHY', 'PHILOSOPHY RENE DESCARTES', 'PHOENIX', 'PLACE ATTACK', 'POSSIBLE CONCEPTION', 'PRESENT MATTER', 'PRESENT TRANSLATION', 'PRINCIPAL ARGUMENT', 'PRINCIPAL MATTER', 'PRINCIPAL ONES', 'PRINCIPAL REASON', 'PRIVILEGIO', 'PROBABLE THINGS', 'PUBLIC TESTIMONY', 'PURE SUBSTANCE', 'READER', 'REASON', 'REGARD MIND', 'REGARDS HUMAN PHILOSOPHY', 'REVISION RENDERS', 'SACRED COUNCILS', 'SCRIPTURES', 'SIGN', 'SIMILAR ACCIDENTS', 'SIMILAR ILLUSIONS', 'SIMILAR MATTERS', 'SIMILAR ORDER', 'SIMPLE CONSIDERATION', 'SIMPLE WAY', 'SINGULAR WISDOM', 'SMALL NUMBER', 'SOLE AID', 'SOLOMON', 'SORBONNE', 'SPECULATIVE TRUTHS', 'SUCH ARGUMENTS', 'SUCH IMPORTANCE', 'SUCH MEN', 'SUFFICIENT LENGTH', 'TERM IDEA', 'THEOLOGICAL ARGUMENT', 'THINGS PERTAINS CORPOREAL NATURE', 'TO-DAY', 'TOT HEIR CONSIDERATION', 'TREATISE', 'TRUE DISTINCTION', 'UNIVERSITY PRESS', 'VERITABLE DEMONSTRATIONS', 'VIOLENT VAPOURS', 'WHOLE MATTER', 'WISDOM', 'WORTHY SUPPORTS']"
2,14,6,"['EXTERNAL OBJECTS', 'HIMSELF', 'NOTABLE DIFFERENCE', 'PAST DAYS', 'SENSIBLE OBJECTS']"
2,15,6,"['CORPOREAL NATURE', 'CORPOREAL OBJECTS', 'DISTINCT IDEA', 'GOD HIMSELF', 'GREAT DIFFERENCE', 'GREAT INCLINATION', 'PURE MATHEMATICS', 'SENSIBLE THINGS', 'SUCH THINGS', 'TACTICE QUALITIES']"
2,16,7,"['14SENSUS COMMUNIS', '25ACIE MENTIS', '27SENSUS COMMUNIS', '28LATIN VERSION', '29SPINI DORSAE MEDULLAM', '2FOR CONVENIENCE SAKE', '9IN PLACE', 'ABCD', 'ABSOLUTE RULES', 'ACTIVE FACULTY', 'ADDITIONAL READINGS', 'AGREEABLE TASTE', 'AMSTERDAM EDITION', 'CASE NATURE', 'CAUSES MIND', 'CERTAIN DRYNESS', 'CERTAIN HABIT', 'CERTAIN MEMBER', 'CERTAIN MOVEMENT', 'CERTAIN ONES', 'CERTAIN PASSIVE FACULTY', 'CERTAIN SPECIAL RIGHT', 'CERTAIN VARIATIONS', 'CLASSROOM USE', 'COLOSSAL STATUES', 'COMMON SENSE27', 'COMMON UNCERTAINTY', 'COMPUTER PRINTOUTS', 'COMPUTER TEXT FILE', 'COMPUTER TEXT FILES', 'CONSERVATION O', 'COPYRIGHT HOLDER', 'DECEITFUL NATURE', 'DESIRE FOOD', 'DIFFERENT FIGURES', 'DIFFERENT IMPRESSIONS', 'DIFFERENT SORTS', 'DISTANT BODIES', 'DIVERSE SENSE- PERCEPTIONS', 'DROPSICAL BODY', 'DROPSICAL PATIENTS', 'EDITION', 'ETERNAL EXISTENCE', 'EXTRINSIC TERM', 'FACULTY RESIDES', 'FALSITY ENTERS', 'FORMAL CONCEPT', 'FRENCH VERSION', 'GOOD HEALTH', 'GREAT SERVICE', 'GREEN BODY', 'HEALTHY MAN', 'HUNGER CAUSES', 'INCONSIDERATE JUDGMENTS', 'INDIVIDUAL OBJECTS', 'INMOST PARTS', 'INMOST PORTIONS', 'INNUMERABLE EXPERIMENTS', 'INTELLIGENT SUBSTANCE', 'INTERNAL PORTIONS', 'INTERNAL SENSATIONS', 'JAMES FIESER', 'LATIN VERSION', 'LECTOREM', 'LONG TITLE', 'MATTERS BESIDES', 'MERSENNE', 'MIND PAIN', 'MOVEMENT CAUSES', 'NATURE INSPIRES', 'NEW DIFFICULTY', 'NOMINAL DISTRIBUTION COSTS', 'NOUS CONCEVONS', 'OWN WAY', 'PAINFUL SENSATION', 'PARIS EDITION', 'PARTICULAR SENSATION', 'PARTICULAR THING', 'PARTICULAR WAY', 'PARTS B', 'PERCEIVE OBJECTS', 'PERCEIVE THINGS', 'PLEASANT TASTE', 'PLEASURABLE SENSATION', 'POSITIVE PROPENSITY', 'PRAEFATIO', 'RATIONAL FOUNDATION', 'REAL ERROR', 'REAL MAN', 'REASON CONCLUDE', 'REMOTE PART', 'SAILOR PERCEIVES', 'SICK DESIRE', 'SICK MAN', 'SIMILAR CASES', 'SIMILAR THINGS', 'SOLE GROUND', 'SUPREME GOODNESS', 'SWEET BODY', 'TERM NATURE', 'THINGS HURTFUL', 'THROAT CAUSES', 'TIME CONTRACT', 'TINY STATUES', 'UNITES EVENTS', 'VERBAL PREDICATE', 'WAY AVAIL', 'WAY REQUISITE', 'WHOLE COURSE', 'WHOLE ESSENCE', 'WHOLE MIND']"
2,17,7,"['EXTERNAL SENSES', 'SUCH MATTERS']"
2,18,11,"['CORPOREAL THINGS', 'GOD', 'BODY', 'CERTAIN THINGS', 'HIM', 'MEDITATION', 'OWN NATURE', 'PRINCIPAL TASK']"
2,19,11,"['NATURAL LIGHT', 'SOLE FACT', 'SUPREME PERFECTION', 'THINGS BESIDES', 'WHEREUPON', 'WHOLE UNIVERSE']"
3,20,15,"['CORPOREAL OBJECTS', 'DISTINCT IDEA', 'GOD HIMSELF', 'GREAT DIFFERENCE', 'SENSIBLE THINGS', 'SUCH THINGS']"
3,21,15,"['CORPOREAL NATURE', 'GREAT INCLINATION', 'PURE MATHEMATICS', 'TACTICE QUALITIES']"
