level,community,parent,nodes
0,0,-1,"['ABBOT TRITHEMIUS', 'AGES', 'ALCHEMICAL BOOK', 'ALCHEMICAL OPERATION', 'ALCHEMISTS', 'ALCHEMY', 'ALCHIMY COMPOSED', 'ALLE DERKNESS SCHAL FLE FRO', 'ALLE THYNGIS', 'AMBIX', 'AMITY', 'ANIMAL KINGDOM', 'ANON MEDITATIONS', 'APPARATUS', 'APPENDIX TRANSLATION', 'ARABIC', 'ARISTOTLE', 'ARTIFICER', 'ASCENDITH FRO', 'ASCENDYTH FRO', 'ATLANTA FUGIENS', 'AZOTH', 'BIBLIOGRAPHY ALBERTUS MAGNUS', 'BLAVATSKY', 'BODILY CONSCIOUSNESS', 'BRANN', 'BRILL', 'BURCKHARDT', 'CALIFORNIA', 'CELESTIAL VIRGIN', 'CHEMICAL EDUCATION', 'CHEMISTRY', 'CHINA', 'CHIRAM', 'CIVILISATION', 'CLEPYD THREFOLD', 'CLVII', 'COMMENTARY', 'COMMENTARY OF IBN UMAIL HERMUS', 'CORPOREAL REALMS', 'CREATIVE PROCESS', 'CRYSTALS', 'CUP', 'DAVIS', 'DECAY CAUSES', 'DENSE THYNGES', 'DEPART', 'DESIRABLE EXCELLENCE', 'DIRECT INTUITION', 'DOBBS', 'EARLY ENGLISH TEXT', 'EMBLEM', 'EMBLEMS', 'ENGLISH VERSIONS', 'ERTH IN-TO HEUYN', 'ERTHE FRO', 'EUIRY RAR RHYNG WERKYTH', 'EUIRY THYK THYNG', 'FADER WHEROF', 'FALLETH FRO HEVEN', 'FALLYTH FRO HEUYN IN-TO ERTH', 'FIX MERCURY', 'FLUXES', 'FOLGER', 'FORCES FURNISHES', 'FRO HOME DESCENDYTH EUIRY MERUULUS WERK', 'FRY', 'FULCANELLI', 'G BELL', 'GARLAND', 'GENERATES KNOWLEDGE', 'GEORGE RIPLEY', 'GLORIOUS WISDOM', 'GOD', 'GOD HERMOGENES', 'GODDE', 'GREAT DIVISIONS', 'GREAT WORLD', 'HARMONDSWORTH', 'HATH HYM', 'HATH LORCHYP', 'HERMES', 'HERMES TRISMEGISTUS', 'HERMES TRISTMEGISTUS', 'HERMOGINES', 'HERMUS', 'HOLMYARD', 'HORTULANUS', 'HUMAN REALISES', 'HYE THINGIS', 'HYER THYNG', 'IDRES', 'IMMATURE SULPHUR', 'INCREAT FADER', 'INFERIOR', 'ISIS UNVEILED', 'JABIR', 'JEAN JACQUES PAVERT', 'JOHN PRELUDE', 'JONG', 'KNOWLEDGE', 'LATIN VERSIONS', 'LEARNED FRYER ROGER BACON', 'LEIDEN', 'LES DEMEURES PHILOSOPHALES', 'LEWIS', 'LIGHT SUBSTANCE', 'LINDEN', 'LONDON', 'LOW', 'LOWE THYNGIS', 'MA AL-WARAQI', 'MAGICAL AGENT', 'MANZALAOUI', 'MATURE QUICKSILVER', 'MAXIMAL FORTITUDE', 'MEDICINE', 'MERCURIUS', 'MERCURY', 'MERKEL', 'MERUELOUS OPERACIONS', 'MICHAEL MAIERS', 'MIDDLE POSITION', 'MINERAL KINGDOM', 'MINERALS', 'MIRROR', 'MOON', 'MOONE MODER', 'MOR BETTYR', 'MOR WORLD RENNYTH THYS', 'MOR WURTHY HAN', 'MYSTERIOUS THING', 'NATURAL OPERATION', 'NATURE', 'NEDYR VERTU', 'NEEDHAM', 'NEWTON', 'NY', 'O SOOLE DISPOSICION', 'O SOOLE SUBSTANCE', 'OCCULT', 'OCCULT MANNER', 'OCT', 'OCTAGON', 'ORIGINAL NATURE', 'OUP', 'OUYR VERTU', 'OVYR VETU OUIRCOMYTH ALLE', 'OWN FIREY', 'OWN SUBTLETY', 'OXYGEN', 'PALADIN', 'PARIS', 'PELICAN', 'PERFECT GEOMETRY', 'PHILOSOPHER', 'PHILOSOPHY NAMES', 'PNEUMA', 'POWER INCREASES', 'POWER PERFORMS', 'POWERS', 'PP 212-', 'PRIUYD FRO HER-TO', 'PUTNAMS', 'READ', 'REDGROVE', 'ROGER BACON', 'ROYAL SOCIETY', 'SADOUL', 'SCHUMAKER', 'SECRETUM SECRETORUM', 'SERPENT', 'SEXUAL OVERTONES', 'SHAH', 'SHERWOOD TAYLOR', 'SILVER', 'SIMILAR NATURE', 'SINGER', 'SKILFUL ADAPTATION', 'SOLID SUBSTANCES', 'SOLID THINGS', 'SPIRIT', 'SPIRITUAL TINCTURES', 'SPIRITUAL WATER', 'STAPLETON', 'STEELE', 'STONE', 'STUART', 'SUBLIME SCIENCES', 'SUBSEQUENT ELEVATION', 'SUBTERRANEAN REGIONS', 'SUBTERRANEAN REGIONS-', 'SUBTILE THING', 'SUFI', 'SUFIS', 'SUN', 'TABLET', 'TAROT', 'TEACHINGS', 'TENFOLD RATIO', 'THEORIES', 'THEOSOPHICAL', 'THERFOR FRO', 'THEROF SLEITH', 'THIRSTY EARTH', 'THOW SHALT LORDSHIP ABOUE', 'THRICE-FAMOUS', 'THU LORDSCHYPPIST VPPEWARD', 'THYNNE THYNG DOTH', 'THYNNE THYNGE', 'TRANSLATION', 'TRIPLEX', 'TRISTMEGISTUS', 'TRITHEMIUS', 'TROUTH', 'TRUTH', 'UNIVERSITY PRESS', 'USUAL EXPLANATION', 'VEGETABLE KINGDOM', 'VERTUE OUER-COMETH', 'WASHINGTON', 'WATKINS', 'WAYNE', 'WERKER', 'WHOLE COSMOS', 'WHOLE WORLD', 'WHOM COMETH', 'WILLIAM', 'WISDOM', 'WISDOM CORRESPOND', 'WOLLE FLE', 'WONDERFUL WAY', 'WORCHER FORSOTH', 'WORLD RYNNETH']"
0,1,-1,"['ABJECT FATE', 'ABOVE -THE WORK', 'ADMIRABLE ADAPTAIONS WHEREOF', 'ADMIRABLE EFFECTS', 'ADMIRABLE WORKS', 'AIR COMPELS', 'AIR- STABILITY', 'AL-HAKIM FI', 'AL-KHALIQA WA', 'AL-USS AL-THANI', 'ALAUR', 'ALBERTUS MAGNUS', 'ALCHEMICAL ELIXIR', 'ALCHEMICAL RETORT', 'AMPLE MEANS', 'ANON', 'ANONYMOUS', 'APOLLONIUS', 'ARABIC VERSION', 'ART', 'ART EXCEEDS', 'ARTIFICIAL GENERATION', 'AURELIUM OCCULTAE PHILOSOPHORUM', 'BACSTROM', 'BALINAS', 'BLACK MATTER', 'BLACK PITCHY MATTER', 'BRAN', 'CALIPHATE', 'CAUSE', 'CAUSES', 'CENTRUY RECENSION', 'CHALDEAN', 'CHIRAM ONE', 'CHIRAM TELAT MECHASOT', 'CHYMIC', 'CLVIII', 'COMMENT', 'COMMENTARIES', 'COMMON MERCURY', 'COMPLETE', 'COMPLETE PUTRIFACTION', 'CONTINUAL CIRCULATION', 'CORRESPONDING PLANES', 'CREATION', 'DARKNESS', 'DARKNESS FLEE', 'DEAD SEA SCROLLS', 'DEATH', 'DIFFERENT SOURCES', 'DISTILLATION', 'EARLY ARABIC VERSION', 'EARTH', 'EARTH 7A', 'EARTH BREAST', 'EARTH RAISES', 'EARTHY WATER', 'ELEMENT EARTH', 'EMERALD TABLE', 'EMESA', 'ENTIRE STONE', 'ESSENTIAL FORM', 'EXTERIOR OBJECTS', 'FATHER', 'FIRE -OR', 'FORTITUDE SNATCHES', 'FULL COMPREHENSION', 'GALIENI ALFACHIMI', 'GENTLE HEAT', 'GEORGIO BEATO', 'GLORY', 'GOLDEN THRONE', 'GOOD MAN', 'GOTHIC', 'GREAT CAPACITY', 'GREAT INDOUSTRY', 'GREAT INDUSTRY', 'GREAT MEASURE', 'GREEK WORD', 'GREEK WRITINGS', 'GREEKS', 'GREEN GRANITES', 'GREEN JASPER', 'HARMONY DOMINATES', 'HAYYAN', 'HEAVEN', 'HENCE', 'HERMES HISTORY', 'HERMES TRISMEGIST', 'HUGH', 'IDRES SHAH', 'ILAL', 'INEXHAUSTABLE RESOURCES', 'INFERIOR AGREES', 'INFERIOR PART', 'INFERIOR POWER', 'INHUMATION REVIVES', 'INNER DISPOSITION', 'INWARD REALITY', 'ISSAC NEWTON', 'JOB', 'JOHANNES HISPALENSIS', 'KITAB BALABIYUS', 'KITAB BALANIYUS', 'KITAB SIRR', 'KITAB USTUQUS', 'KRIEGSMANN', 'LARGE QUANTITY', 'LATE ADDITIONS', 'LATIN TEXTS', 'LENS TRANSMITS', 'LIGHTS DARKNESS', 'LIQUID STATE', 'LULL', 'LUNA', 'MADAME BLAVATSKY', 'MAGNO INGENIO', 'MAIER', 'MAIN PROPERTIES', 'MANIFOLD WONDERS', 'MARVELLOUS OPERATIONS', 'MARVELOUS ADAPTIONS', 'MARVELOUS COJUNCTIONS', 'MARVELOUS WORK', 'MATTER', 'MEDIEVAL TIMES', 'METALLIC TRANSFORMATION', 'MIRACLES 6A', 'MODERATE TEMPERATURE', 'MOTHERS WOMB', 'NABLUS', 'NABULUS', 'NAG HAMAMDI TEXTS', 'NEMESIUS', 'NEW TRANSLATION', 'OBSCURITY', 'OBSCURITY FLEE', 'ODESSA', 'OLD MAN', 'ONE', 'ONE WHO', 'ORIGINAL', 'OTHERS MEDIATIONE', 'OUT- INSTITUUNTUR', 'PARENT BODY', 'PARTS MOREOVER', 'PHILIP', 'PHILOSOPHIC CHILD', 'PHILOSOPHICAL WORK', 'PHILSOSPHY', 'PHYSICAL HEALTH', 'PHYSICAL RESPECT', 'PLATO', 'POWER', 'PRECIOUS STONES', 'PRIMA MATERIA', 'PRIMAL MATTER', 'PRIMAL SUBSTANCE', 'PRIME MATTER', 'PRIMORDIAL LANGUAGE-', 'PRINCIPLE PARTS', 'PROCESS-', 'QUICKSILVER', 'READIEST OPERATIONS', 'RECENT DISCOVERIES', 'RECIPROCAL DEPENDENCE', 'RIPLEY', 'ROAST', 'ROMULUS', 'RUSKA', 'SACRED-TEXTS ESOTERIC INDEX PREVIOUS', 'SACRO', 'SAGIJUS', 'SAN', 'SANTALLA', 'SEEDS', 'SEPARATE EARTH', 'SEPARATE LINE', 'SEPARATION', 'SEPERATE', 'SERGIUS', 'SHEBA', 'SIGISMUND BACSTROM', 'SOLAR', 'SOLAR AZOTH', 'SOLAR WORK', 'SOLID ELEMENTS', 'SOLID METALS', 'SOLID THING', 'SOLID THING 11A', 'SOPHIC MERCURY', 'SOUL', 'SPAIN', 'SPIRITUAL GERM', 'SPIRITUAL POWER', 'SPIRITUAL STATE', 'SPIRITUOUS EARTH', 'STORY IMPLIES', 'STRONG STRENGTH', 'SUBTLE PLANE', 'SUBTLE THING', 'SUBTLE THINGS', 'SUITABLE RECEPTACLE', 'SUM TOTAL', 'SUPERIOR AGREES', 'SUPERIOR PART', 'SUPERLATIVE DEGREE', 'SYRIA', 'SYRIAC', 'TABLET HISTORY', 'TABLET ZARADI', 'TABULA SMARAGDINA', 'TEACHER', 'TELESMA', 'TELESMI', 'TEXTUAL REMARKS', 'THELEME', 'THENCE DESCEND', 'THIN AIR', 'THINGS FLOW', 'THOU WILT', 'THREEFOLD SAGE', 'TIS', 'TIVOLI', 'TOAD', 'TOWARDS- VERSA FUERIT', 'TREASURES', 'TRIPOLI', 'TRUE', 'TRUE EXPLANATION', 'TWELFTH', 'TWOFOLD SEED', 'TYNA', 'UNBORN CHILD', 'UNIQUE THING', 'UNITY', 'UNIVERSAL PHILOSOPHY', 'UNIVERSAL WORLD', 'UNIVERSE', 'UNRIPE FRUIT', 'VAPOUR REUNITES', 'VARIOUS LEVELS', 'VEGETABLE KINGDOMS ETC', 'VEINS', 'VERSA FUERIT', 'VICE VERSA', 'VITAL BREATH', 'VOLATILE ELEMENTS', 'VOLATILE PART', 'VOLATILE PRINCIPLE', 'VOLATILIZES SOL', 'WATER PROCEEDS', 'WATERY CONDITION', 'WATERY EARTH', 'WHOLE AFFIRMATION', 'WHOLE EARTH', 'WHOLE STONE', 'WHOLE SUBSTANCE', 'WHOLE TRUTH', 'WHOLE UNIVERSE', 'WHOLE WORLD-', 'WILL', 'WILT THOU PARTAKE', 'WIND', 'WIND BORE', 'WIND HATH', 'WONDERFUL ADAPTATIONS', 'WONDERFUL DEVELOPEMENTS', 'WONDERFUL JUICE', 'WONDERFUL POWERS', 'WONDERFUL WORK', 'WONDROUS WORKS', 'WORD TALISMAN', 'WORLD CONTAINS', 'YANG', 'YIN', 'YT WCH']"
1,2,0,"['ABBOT TRITHEMIUS', 'AGES', 'ALCHEMICAL BOOK', 'ALCHEMICAL OPERATION', 'ALCHEMISTS', 'ALCHEMY', 'ALCHIMY COMPOSED', 'ALLE DERKNESS SCHAL FLE FRO', 'ALLE THYNGIS', 'AMBIX', 'AMITY', 'ANIMAL KINGDOM', 'ANON MEDITATIONS', 'APPARATUS', 'APPENDIX TRANSLATION', 'ARABIC', 'ARISTOTLE', 'ARTIFICER', 'ASCENDITH FRO', 'ASCENDYTH FRO', 'ATLANTA FUGIENS', 'BIBLIOGRAPHY ALBERTUS MAGNUS', 'BODILY CONSCIOUSNESS', 'BRANN', 'BRILL', 'CALIFORNIA', 'CELESTIAL VIRGIN', 'CHEMICAL EDUCATION', 'CHEMISTRY', 'CHIRAM', 'CIVILISATION', 'CLEPYD THREFOLD', 'CLVII', 'COMMENTARY', 'COMMENTARY OF IBN UMAIL HERMUS', 'CORPOREAL REALMS', 'CREATIVE PROCESS', 'CRYSTALS', 'CUP', 'DECAY CAUSES', 'DENSE THYNGES', 'DEPART', 'DIRECT INTUITION', 'EARLY ENGLISH TEXT', 'EMBLEM', 'EMBLEMS', 'ENGLISH VERSIONS', 'ERTH IN-TO HEUYN', 'ERTHE FRO', 'EUIRY RAR RHYNG WERKYTH', 'EUIRY THYK THYNG', 'FADER WHEROF', 'FALLETH FRO HEVEN', 'FALLYTH FRO HEUYN IN-TO ERTH', 'FIX MERCURY', 'FLUXES', 'FOLGER', 'FORCES FURNISHES', 'FRO HOME DESCENDYTH EUIRY MERUULUS WERK', 'FRY', 'G BELL', 'GARLAND', 'GENERATES KNOWLEDGE', 'GEORGE RIPLEY', 'GLORIOUS WISDOM', 'GOD HERMOGENES', 'GODDE', 'GREAT DIVISIONS', 'HARMONDSWORTH', 'HATH HYM', 'HATH LORCHYP', 'HERMOGINES', 'HERMUS', 'HUMAN REALISES', 'HYE THINGIS', 'HYER THYNG', 'IDRES', 'IMMATURE SULPHUR', 'INCREAT FADER', 'INFERIOR', 'ISIS UNVEILED', 'JEAN JACQUES PAVERT', 'JOHN PRELUDE', 'KNOWLEDGE', 'LATIN VERSIONS', 'LEARNED FRYER ROGER BACON', 'LEIDEN', 'LES DEMEURES PHILOSOPHALES', 'LEWIS', 'LIGHT SUBSTANCE', 'LONDON', 'LOW', 'LOWE THYNGIS', 'MA AL-WARAQI', 'MAGICAL AGENT', 'MANZALAOUI', 'MATURE QUICKSILVER', 'MEDICINE', 'MERCURIUS', 'MERKEL', 'MERUELOUS OPERACIONS', 'MICHAEL MAIERS', 'MIDDLE POSITION', 'MINERALS', 'MIRROR', 'MOONE MODER', 'MOR BETTYR', 'MOR WORLD RENNYTH THYS', 'MOR WURTHY HAN', 'MYSTERIOUS THING', 'NATURAL OPERATION', 'NEDYR VERTU', 'NEWTON', 'NY', 'O SOOLE DISPOSICION', 'O SOOLE SUBSTANCE', 'OCCULT', 'OCCULT MANNER', 'OCT', 'OCTAGON', 'ORIGINAL NATURE', 'OUP', 'OUYR VERTU', 'OVYR VETU OUIRCOMYTH ALLE', 'OWN FIREY', 'OWN SUBTLETY', 'OXYGEN', 'PALADIN', 'PARIS', 'PELICAN', 'PERFECT GEOMETRY', 'PHILOSOPHY NAMES', 'PNEUMA', 'POWER INCREASES', 'POWER PERFORMS', 'POWERS', 'PP 212-', 'PRIUYD FRO HER-TO', 'PUTNAMS', 'ROGER BACON', 'ROYAL SOCIETY', 'SERPENT', 'SEXUAL OVERTONES', 'SHERWOOD TAYLOR', 'SILVER', 'SIMILAR NATURE', 'SKILFUL ADAPTATION', 'SOLID SUBSTANCES', 'SPIRITUAL TINCTURES', 'SPIRITUAL WATER', 'STAPLETON', 'STUART', 'SUBLIME SCIENCES', 'SUBSEQUENT ELEVATION', 'SUBTERRANEAN REGIONS', 'SUBTERRANEAN REGIONS-', 'SUFI', 'SUFIS', 'TAROT', 'TEACHINGS', 'TENFOLD RATIO', 'THEORIES', 'THEOSOPHICAL', 'THERFOR FRO', 'THEROF SLEITH', 'THIRSTY EARTH', 'THOW SHALT LORDSHIP ABOUE', 'THRICE-FAMOUS', 'THU LORDSCHYPPIST VPPEWARD', 'THYNNE THYNG DOTH', 'THYNNE THYNGE', 'TRANSLATION', 'TRIPLEX', 'TRISTMEGISTUS', 'TROUTH', 'UNIVERSITY PRESS', 'USUAL EXPLANATION', 'VEGETABLE KINGDOM', 'VERTUE OUER-COMETH', 'WASHINGTON', 'WATKINS', 'WAYNE', 'WERKER', 'WHOLE COSMOS', 'WHOM COMETH', 'WILLIAM', 'WISDOM CORRESPOND', 'WOLLE FLE', 'WONDERFUL WAY', 'WORCHER FORSOTH', 'WORLD RYNNETH']"
1,3,0,"['AZOTH', 'BLAVATSKY', 'BURCKHARDT', 'CHINA', 'DAVIS', 'DESIRABLE EXCELLENCE', 'DOBBS', 'FULCANELLI', 'GOD', 'GREAT WORLD', 'HERMES', 'HERMES TRISMEGISTUS', 'HERMES TRISTMEGISTUS', 'HOLMYARD', 'HORTULANUS', 'JABIR', 'JONG', 'LINDEN', 'MAXIMAL FORTITUDE', 'MERCURY', 'MINERAL KINGDOM', 'MOON', 'NATURE', 'NEEDHAM', 'PHILOSOPHER', 'READ', 'REDGROVE', 'SADOUL', 'SCHUMAKER', 'SECRETUM SECRETORUM', 'SHAH', 'SINGER', 'SOLID THINGS', 'SPIRIT', 'STEELE', 'STONE', 'SUBTILE THING', 'SUN', 'TABLET', 'TRITHEMIUS', 'TRUTH', 'WHOLE WORLD', 'WISDOM']"
