level,community,parent,nodes
0,0,-1,"['5TH CHAPTER', 'ACCIDENTAL DIFFERENCES', 'ACCOMPLISHES GEAT MARVELS', 'ACTIVE ELEMENTS', 'ACTIVE FORCE', 'ACTIVE MOVEMENTS', 'ADDUCE HUNDREDS', 'AFORESAID EARTHY PARTICLES', 'AFORESAID WATER', 'ALEXANDER', 'ALUM', 'ANCIENT PHILOSOPHY', 'ANTHOLOGY', 'ANTIMONY', 'AQUA FORTIS', 'ARAGON', 'ARISTOTLE', 'ARNOLD', 'ASTRATUS', 'AZOTH', 'BARABBAS', 'BEGOTTEN THEE', 'BERNARD', 'BODIES SUBTLE', 'BOHEMIA', 'BOOK OBSERVES', 'BROAD LAW', 'BU AQUEOUS IMMATURITY', 'CALID', 'CERTAIN CLASS', 'CERTAIN EXTENT IMPURE', 'CERTAIN SPECIFIC CHARACTER', 'CERTAIN TENDENCY', 'CHAMBAR', 'CHAOS', 'CHAPTER I', 'CHAPTER III', 'CHAPTER VI', 'CHASTE UNION', 'CHEMICAL OPERATIONS', 'CHRIST', 'CLEAR LIMPID WATER', 'CLEAR WATER', 'CODE', 'COMBUSTIBLE SULPHUR', 'COMPLETE COMPLEXION', 'CORROSIVE WATERS', 'DAMP SPOT', 'DANTIUS', 'DEAD BODY', 'DIFFERENCE EXISTS', 'DIFFERENT', 'DIFFERENT BRANCHES', 'DIFFERENT COUNTRIES', 'DIFFERENT DEGREES', 'DIFFERENT METALS', 'DIFFERENT SPECIES', 'DIFFERENT WAYS', 'DIGEST VEGETABLES', 'DISSOLVE BODIES', 'DISSOLVE METALS', 'DISSOLVES BODIES', 'DOST', 'DRAGON', 'DRY POWDER', 'DUCTILE THINGS', 'DUE METALLIC PROPORTION', 'EARTHY COLDNESS', 'ELEMENT ACTS', 'ELEMENTARY FIRE', 'ELIXIR', 'EMBRACE RESULTS', 'EXCESSIVE EXTERNAL HEAT', 'FAMILIAR ACQUAINTANCE', 'FATAL ERROR', 'FEMALE PRINCIPLE', 'FEMALE SEED', 'FEMALE SPERM', 'FERTILE TRACTS', 'FIERCE FIRE', 'FIRE HEATS AIR', 'FIRE PURIFY', 'FLUID MATTER', 'FOOLISH PERSONS', 'FOOLS', 'FOOLS EXTRACT', 'FULL CERTAINTY', 'FUSIBLE EARTH', 'FUSIBLE THINGS', 'GENERAL LAWS', 'GENERATE METALS', 'GENERATIVE VIRTUE', 'GENERIC EARTH', 'GENTLE FIRE', 'GOD', 'GOLD ADDRESS', 'GOLDEN WATER', 'GOOD BREAD', 'GOOD PURPOSE', 'GOOD WORKMAN', 'GREAT ARCANUM', 'GREAT GAIN', 'GREAT LABOUR', 'GREAT MISTAKE', 'GROSS SUBSTANCES', 'GROUND QUICKSILVER', 'HAST NEED', 'HEAT ADHERES', 'HEAVY OBJECTS', 'HENCE', 'HERMES', 'HOMOGENEOUS BODIES', 'HOMOGENEOUS SUBSTANCES', 'HOMOGENEOUS SUBSTANCES COHERE', 'HOT MALE SEED', 'HUMID NATURE', 'IMPERFECT BODY', 'IMPERFECT METALS', 'IMPERFECT SUBSTANCES', 'IMPERIAL MIND', 'IMPURE BODY', 'IMPURE EARTH', 'IMPURE METALLIC BODIES', 'INACTIVE QUALITIES', 'INCORPOREAL THINGS BODIES', 'INDIVIDUAL THINGS', 'INFERIOR BODIES', 'INMOST PARTS', 'INMOST PROPERTIES', 'INTERMEDIATE POSITION', 'INTIMATE UNION', 'IRREFRAGABLE QUOTATIONS', 'JOINS QUICKSILVER', 'JUDICIOUS PHILOSOPHERS', 'JUPITER', 'KNOW', 'LADDER', 'LESSER METALS', 'LESSER MINERALS CORROSIVE WATERS', 'LETTER', 'LIGHT OBJECTS', 'LIMPID WATER', 'LOFTY EMINENCE', 'LUCID NATURE', 'LUNAR', 'LUNAR STONE', 'MAJESTY', 'MALLEABLE METALS', 'MATURE QUICKSILVER', 'MEDICINE', 'MERCURIAL', 'MERCURIAL STONE', 'METALLIC BODIES', 'METALLIC COMPOUND', 'METALLIC GENUS', 'METALLIC MATTER', 'METALLIC PROPORTIONS', 'METALLIC QUALITIES', 'METALLIC QUALITY', 'METALLIC VIRTUE', 'METALLIC WATER', 'METALS DIFFER', 'MIGHTY LORD', 'MINOR MINERALS', 'MOON', 'MORBID HEAT', 'MORTIFIES BODIES', 'NATURAL COMPOSITION', 'NATURAL HEAT', 'NATURAL HUMIDITY', 'NATURAL KINGDOMS', 'NATURAL METHOD', 'NATURAL SOLUTION', 'NATURE', 'NAY', 'NEW SPECIES', 'NEW THING', 'OPERATIONS CONTRARY', 'ORANGE COLOUR', 'ORIGINAL MINERAL QUALITY', 'ORIGINAL SPERM', 'OUTWARD APPEARANCE', 'OWN CASE', 'OWN EXPERIENCE', 'OWN GENUS', 'OWN HEAT', 'OWN KIND', 'OWN LIKENESS', 'OWN NATURE', 'OWN PARTICULAR GENUS', 'OWN PROPER HUMIDITY', 'OWN PROPER SEED', 'OWN SEED', 'PARTICULAR OPERATION', 'PASSIVE BODY', 'PASSIVE ELEMENTS', 'PASSIVE MOVEMENTS', 'PERFECT BODIES', 'PERFECT BODY', 'PERFECT FEMALE BODY', 'PERFECT MALE BODY', 'PERFECT METALLIC SPECIES', 'PERFECT TINCTURE', 'PERMANENT TINCTURE', 'PETER', 'PHILOSOPHER', 'PHILOSOPHER TESTIFIES', 'PHILOSOPHERS', 'PHILOSOPHERS EDWARD KELLY', 'PHILOSOPHICAL STONE', 'PRESENT TREATISE TIME', 'PROPER DEGREE', 'PROPER METHOD', 'PROPER SEED', 'PURE', 'PURE EARTH', 'PURE SEED', 'PURE SOIL', 'PURIFY', 'PURIFY LATON', 'QUICKSILVER', 'RADICAL HUMOUR', 'RED SULPHUR', 'REJECT', 'REVEREND FATHER', 'ROSARY', 'ROSINUS', 'SAYS MENALATES', 'SAYS MERCURY', 'SEED', 'SEED SOWN', 'SENSITIVE THINGS', 'SEXUAL UNION', 'SILVER', 'SILVER COLOUR', 'SILVER EXHIBITS', 'SIMILAR CANON', 'SIMILAR THINGS', 'SIMPLE DIGESTION', 'SIMPLE SALT', 'SOLAR', 'SOLAR FATNESS', 'SOLAR STONE', 'SOLVENT DIFFERS', 'SOUNDING', 'SOW', 'SPECIFIC ARRANGEMENT', 'SPECIFIC FORM', 'SPECIFIC MERCURIAL NATURE', 'SPECIFIC METALLIC ARRANGEMENT', 'SPIRIT', 'STONE ANTIMONY', 'STONY WILDERNESS', 'STRONG WATERS', 'SUCH CHILDISH EXPERIMENTS', 'SUCH PROPORTIONS', 'SULPHUREOUS HEAT', 'THICK WATER', 'THOU', 'THOU ART', 'THOU DISPUTE', 'THREEFOLD DIVISION', 'THY NATURE', 'THY OPERATION', 'THY SOUL', 'TINCTURE', 'TINGE SULPHUR', 'TRANSMUTATION', 'TREVISA', 'TREVISAN', 'TRUE BODY', 'TRUE GENERATION', 'TRUE SCOPE', 'TRUMPET', 'TRUTH', 'TURBA', 'TURBA PHILOSOPHORUM', 'UNCERTAIN NOTE', 'UNCHANGEABLE LAW', 'UNIVERSAL MATTER', 'VEGETABLE LIQUID', 'VENERABLE EARS', 'VISCOUS SUBSTANCE', 'WANTON SERPENT', 'WARM WATER', 'WATER ACTS', 'WAYS', 'WHITE HOT ASHES', 'WHITE INCUMBUSTIBLE SULPHUR', 'WHITE SULPHUR', 'WHITE WOMAN', 'WHOEVER NEGLECTS', 'WHOLE DIFFICULTY', 'WHOLE LIFE', 'WHOLE PROCESS', 'WHOLE SPHERE', 'WHOLE WORK', 'WHOSOEVER DRINKS', 'WONDERFUL LIQUID', 'WORDS', 'ZALENTUM']"
0,1,-1,"['ALCHEMY', 'ART', 'AVICENNA', 'BODILY SUBSTANCE', 'ETHELIA', 'INCORPOREAL BODY', 'LATON', 'LIGHTS', 'MAGISTERY', 'MERCURY', 'MORIENUS', 'PURE WATER', 'REAL BODY', 'RED MAN', 'SAGES', 'STONE', 'SUN', 'BE', 'BODIES TILL', 'COMMON GENERATION', 'COPPER COAGULATES', 'CRUDE BODY', 'DILIGENT IMBIBITION', 'DISSOLVES HUMIDITY', 'EQUAL MARRIAGE', 'EXERCIT', 'FUTURE AGES', 'GENERATIVE GERM', 'GRATIANUS', 'GROSS PARTS', 'HOMOGENEOUS THINGS', 'IMPORTANT POINT', 'IMPURE BODIES', 'ORANGE IMPERFECT BODY', 'OWN EXPERIMENTS', 'PARTICULAR MIXTURE', 'PROCESSES TILL', 'PURE THINGS', 'QUICKSILVER CONGEALS', 'RHASIS', 'SATURN', 'SOUL PREVENTS', 'SPIRIT GUARDS', 'SPIRIT INCOMBUSTIBLE', 'STIR', 'STRONE BODIES', 'SUBTLE FORM', 'TRUE PHILOSOPHICAL SOLUTION', 'TRUE PRINCIPLE', 'VISCOUS PARTS', 'WATER WHENCE METALS', 'WHITE SISTER', 'WHITE WOMAN TILL', 'WHITEN COPPER']"
1,2,1,"['ALCHEMY', 'ART', 'AVICENNA', 'BODILY SUBSTANCE', 'ETHELIA', 'INCORPOREAL BODY', 'LATON', 'LIGHTS', 'MAGISTERY', 'MERCURY', 'MORIENUS', 'PURE WATER', 'REAL BODY', 'RED MAN', 'SAGES', 'STONE', 'SUN']"
1,3,1,"['BE', 'BODIES TILL', 'COMMON GENERATION', 'COPPER COAGULATES', 'CRUDE BODY', 'DILIGENT IMBIBITION', 'DISSOLVES HUMIDITY', 'EQUAL MARRIAGE', 'EXERCIT', 'FUTURE AGES', 'GENERATIVE GERM', 'GRATIANUS', 'GROSS PARTS', 'HOMOGENEOUS THINGS', 'IMPORTANT POINT', 'IMPURE BODIES', 'ORANGE IMPERFECT BODY', 'OWN EXPERIMENTS', 'PARTICULAR MIXTURE', 'PROCESSES TILL', 'PURE THINGS', 'QUICKSILVER CONGEALS', 'RHASIS', 'SATURN', 'SOUL PREVENTS', 'SPIRIT GUARDS', 'SPIRIT INCOMBUSTIBLE', 'STIR', 'STRONE BODIES', 'SUBTLE FORM', 'TRUE PHILOSOPHICAL SOLUTION', 'TRUE PRINCIPLE', 'VISCOUS PARTS', 'WATER WHENCE METALS', 'WHITE SISTER', 'WHITE WOMAN TILL', 'WHITEN COPPER']"
