title,frequency,text_unit_ids
SENSIBLE MAN,1,[3]
SENSIBLE THINGS,3,"[0, 1, 3]"
SENSIBLE WORLD,1,[1]
SEPARATE BODY,1,[1]
SEPARATE EARTHY NATURES,1,[3]
SEPARATE HABITATION,1,[3]
SEPARATE PARTS,1,[4]
SERIOUS TASK,1,[4]
SEXUAL INTERCOURSE,1,[4]
SHORTER SIDES,1,[2]
SHORTER SPAN,1,[3]
SIDES UNEQUAL,1,[2]
SIGHT RETURNS,1,[3]
SIMILAR DIFFERENCES,1,[2]
SIMILAR DISEASES,1,[4]
SIMILAR EFFECTS,2,"[1, 3]"
SIMILAR ELEMENTS,1,[2]
SIMILAR IRREGULARITY,1,[4]
SIMILAR MANNER,1,[3]
SIMILAR PARTICLES,2,"[2, 4]"
SIMILAR PARTS,2,"[2, 3]"
SIMILAR PRINCIPLE,2,"[2, 4]"
SIMILAR PRINCIPLE APPLIES,1,[4]
SIMILAR PROPERTIES,1,[2]
SIMPLE KINDS,1,[3]
SIMPLE LIFE,1,[0]
SINEWY HEAD,1,[3]
SLOW SOUNDS,1,[4]
SLUGGISH ELEMENT,1,[4]
SMALL BASE,1,[2]
SMALL BODIES,1,[2]
SMALL BODY,2,"[2, 3]"
SMALL EXCEPTION,1,[1]
SMALL FRAME,1,[4]
SMALL PARTICLES,1,[2]
SMALL PARTS,1,[2]
SMALL PIECES,1,[2]
SMALL PORTIONS,1,[4]
SMALL SEED,1,[0]
SMALL SIZE,1,[4]
SMALL VEINS,1,[3]
SMOOTH EARTH,1,[3]
SMOOTH SURFACE,1,[1]
SMOOTH SURFACE REPELS,1,[1]
SO-CALLED WOMB,1,[4]
SOC,1,[0]
SOCRATES,1,[0]
SOFT SPRING,1,[3]
SOFT SUBSTANCES,1,[2]
SOLE CAUSES,1,[2]
SOLE PURSUIT,1,[0]
SOLID ANGLE,1,[2]
SOLID ANGLES,1,[2]
SOLID BODIES,1,[0]
SOLID BODY,2,"[2, 3]"
SOLID BONE,1,[3]
SOLID EARTH,1,[1]
SOLID FLESH,1,[3]
SOLID FORM,1,[2]
SOLID MASSES,1,[2]
SOLON,1,[0]
SOUL SUFFERS,1,[4]
SOVEREIGN PART,1,[4]
SPECIAL STUDY,1,[0]
SPECTATOR FANCY,1,[1]
SPHERICAL BODY,1,[1]
SPHERICAL FORM,1,[1]
SPHERICAL SHAPE,1,[1]
SPINAL MARROW,1,[4]
SPLENDID FEAST,1,[0]
SPURIOUS REASON,1,[2]
STABLE BASES,1,[2]
STABLE BASIS,1,[2]
STALE BLOOD,1,[4]
STATE-HOW,1,[0]
STRAITS,1,[0]
STRANGE VARIETY,1,[2]
STRICT REASON,1,[2]
STRIKE TERROR,1,[3]
SUBJECT ADMITS,1,[4]
SUBORDINATE SPECIES,1,[2]
SUBSTANCE AKIN,1,[1]
SUBSTANCE DEAR,1,[2]
SUBSTANCES STANCES,1,[4]
SUCCULENT FLESH,1,[3]
SUCH ANGLES,1,[2]
SUCH CASES,2,"[0, 4]"
SUCH CAUSES,1,[2]
SUCH DISORDERS,1,[4]
SUCH ELEMENTS,1,[0]
SUCH EXPRESSIONS,1,[2]
SUCH LAWS,1,[0]
SUCH MANNER,1,[0]
SUCH MATTERS,1,[0]
SUCH MOTIONS,1,[1]
SUCH THING,1,[4]
SUCH TIMES,1,[0]
SUCH TRIANGLES,1,[2]
SUCH WONDERFUL PHENOMENA,1,[4]
SUCH WORLD,1,[0]
SUDDEN REPLENISHMENTS,1,[3]
SUDDEN RETURN,1,[3]
SUFFICIENT AIR,1,[4]
SUITABLE ADDITIONS,1,[1]
SUITABLE BEGINNING,1,[1]
SUITABLE LIMIT,1,[0]
SUITABLE WAR,1,[0]
SUMMER EXUDES,1,[3]
SUMMER HEAT,1,[3]
SUN,1,[1]
SUPERFLUOUS MEAT,1,[3]
SUPERIOR POWER,1,[3]
SUPERIOR POWERS,1,[3]
SUPERIOR RACE,1,[1]
SURFACE DAMP,1,[3]
SWIFTER MOTION,1,[3]
TANGIBLE HEAVEN,1,[0]
TENDER FLESH,1,[4]
TETHYS,1,[1]
THE-OUTER PARTS,1,[4]
THEAETETUS INDEX,1,[5]
THEM-THE PAY,1,[0]
THEREUPON,1,[0]
THIN BONE,1,[3]
THINGS PENETRATES EVERYWHERE,1,[2]
THINNEST FILM,1,[3]
THOUGHTS IMMORTAL,1,[4]
